지역명,연,월,평균기온,평균최저기온,평균최고기온
세종특별자치시,2022,2,-0.4,-5.6,5.2
세종특별자치시,2022,3,7.7,1.9,13.9
세종특별자치시,2022,4,14.2,7.7,21.6
세종특별자치시,2022,5,18.4,11.7,25.3
세종특별자치시,2022,6,23.3,19.0,28.7
세종특별자치시,2022,7,26.4,22.9,30.9
세종특별자치시,2023,1,-1.2,-6.1,4.4
세종특별자치시,2023,2,2.0,-3.2,8.1
세종특별자치시,2023,3,9.6,2.6,17.1
세종특별자치시,2023,4,13.3,7.3,19.4
세종특별자치시,2023,5,18.5,12.8,24.4
세종특별자치시,2023,6,23.1,18.3,28.5
세종특별자치시,2023,7,25.6,22.7,29.9
세종특별자치시,2024,1,0.1,-3.8,4.8
세종특별자치시,2024,2,4.0,-0.1,8.7
울산광역시,2020,1,5.2,1.8,9.5
울산광역시,2020,2,6.0,1.4,11.0
울산광역시,2020,3,9.6,4.6,14.9
울산광역시,2020,4,12.3,7.0,18.0
울산광역시,2020,5,18.1,13.9,23.3
울산광역시,2020,6,22.7,18.5,27.6
울산광역시,2020,7,22.1,19.8,25.3
울산광역시,2021,1,2.1,-2.6,6.8
울산광역시,2021,2,6.5,1.6,11.9
울산광역시,2021,3,10.5,5.9,15.4
울산광역시,2021,4,13.8,9.1,19.0
울산광역시,2021,5,17.8,13.1,22.7
울산광역시,2021,6,21.7,18.2,25.8
울산광역시,2021,7,25.9,22.8,29.8
울산광역시,2022,1,2.6,-1.7,8.0
울산광역시,2022,2,2.7,-1.8,7.7
울산광역시,2022,3,9.9,4.9,15.0
울산광역시,2022,4,14.7,9.8,20.1
울산광역시,2022,5,19.2,13.8,24.9
울산광역시,2022,6,22.4,19.1,26.6
울산광역시,2022,7,26.0,22.9,30.0
울산광역시,2023,1,2.6,-2.1,7.9
울산광역시,2023,2,5.2,0.6,10.4
울산광역시,2023,3,11.4,6.3,17.2
울산광역시,2023,4,14.1,9.2,18.8
울산광역시,2023,5,17.8,13.3,22.5
울산광역시,2023,6,22.3,18.4,26.9
울산광역시,2023,7,25.8,22.5,29.8
울산광역시,2024,1,3.4,-0.7,8.3
울산광역시,2024,2,6.0,2.5,10.0
인천광역시,2020,1,1.8,-0.8,5.0
인천광역시,2020,2,2.5,-0.6,6.2
인천광역시,2020,3,7.1,3.3,11.2
인천광역시,2020,4,10.4,7.1,14.3
인천광역시,2020,5,16.7,13.5,20.7
인천광역시,2020,6,21.8,18.7,25.8
인천광역시,2020,7,23.2,20.8,26.2
인천광역시,2021,1,-2.0,-5.9,1.8
인천광역시,2021,2,2.1,-2.0,6.3
인천광역시,2021,3,7.7,4.2,12.3
인천광역시,2021,4,13.2,9.6,17.3
인천광역시,2021,5,16.2,12.7,20.2
인천광역시,2021,6,21.6,18.6,25.3
인천광역시,2021,7,27.2,24.6,30.4
인천광역시,2022,1,-2.2,-5.6,1.7
인천광역시,2022,2,-1.3,-4.5,2.4
인천광역시,2022,3,6.7,3.3,10.8
인천광역시,2022,4,12.9,9.4,17.3
인천광역시,2022,5,17.1,13.5,21.4
인천광역시,2022,6,21.9,19.2,25.4
인천광역시,2022,7,26.2,23.8,29.5
인천광역시,2023,1,-1.6,-5.1,2.2
인천광역시,2023,2,1.6,-1.6,5.4
인천광역시,2023,3,8.1,4.0,13.0
인천광역시,2023,4,12.7,8.8,17.0
인천광역시,2023,5,18.0,14.5,22.4
인천광역시,2023,6,21.8,19.0,25.4
인천광역시,2023,7,25.7,23.4,28.4
인천광역시,2024,1,-0.6,-3.6,2.7
인천광역시,2024,2,3.3,0.2,6.9
전라남도,2020,1,5.8,3.2,9.2
전라남도,2020,2,6.4,3.0,10.5
전라남도,2020,3,9.9,5.9,14.1
전라남도,2020,4,12.5,8.6,17.0
전라남도,2020,5,18.0,15.2,21.3
전라남도,2020,6,22.4,19.8,25.7
전라남도,2020,7,22.6,21.1,25.0
전라남도,2020,8,27.1,25.3,29.7
전라남도,2020,9,22.2,19.9,24.8
전라남도,2020,10,17.3,14.3,21.0
전라남도,2020,11,12.1,8.9,16.0
전라남도,2020,12,4.3,1.0,8.3
전라남도,2021,1,2.9,-0.6,6.9
전라남도,2021,2,6.2,2.6,10.5
전라남도,2021,3,11.0,7.8,15.0
전라남도,2021,4,14.7,11.0,18.8
전라남도,2021,5,18.1,15.1,21.6
전라남도,2021,6,22.3,20.0,25.4
전라남도,2021,7,26.5,24.5,29.1
전라남도,2021,8,26.8,24.7,29.4
전라남도,2021,9,23.2,21.2,25.6
전라남도,2021,10,18.6,15.6,22.3
전라남도,2021,11,12.1,8.8,16.4
전라남도,2021,12,5.7,2.2,9.7
전라남도,2022,1,3.3,-0.1,7.6
전라남도,2022,2,3.1,-0.3,7.4
전라남도,2022,3,9.7,6.1,13.9
전라남도,2022,4,14.7,11.4,18.6
전라남도,2022,5,18.9,15.3,23.3
전라남도,2022,6,21.9,19.9,24.7
전라북도,2020,1,2.3,-2.1,7.7
전라북도,2020,2,3.2,-2.1,9.5
전라북도,2020,3,7.1,0.4,14.0
전라북도,2020,4,9.6,2.4,17.0
전라북도,2020,5,17.8,12.2,23.8
전라북도,2020,6,23.1,18.3,28.7
전라북도,2020,7,22.9,20.1,26.8
전라북도,2021,1,-0.9,-6.5,5.2
전라북도,2021,2,3.4,-2.4,9.9
전라북도,2021,3,9.3,2.8,16.4
