지역명,연,월,대상가구수,평균사용량,평균금액
경상북도,2021,6,1610450,181.86,17973
경상북도,2021,7,1613565,198.61,19355
경상북도,2021,8,1613993,257.7,27765
경상북도,2021,9,1615073,205.14,20132
경상북도,2021,10,1616599,183.19,19067
경상북도,2021,11,1619018,189.52,20297
경상북도,2021,12,1611831,197.47,21832
경상북도,2022,1,1613252,215.97,25480
경상북도,2022,2,1614484,215.32,25475
경상북도,2022,3,1615444,188.27,20535
경상북도,2022,4,1616380,191.71,20640
경상북도,2022,5,1617518,174.39,18570
경상북도,2022,6,1618669,181.41,19661
경상북도,2022,7,1619741,226.93,25409
경상북도,2022,8,1621103,255.61,27968
경상북도,2022,9,1622244,211.76,22353
경상북도,2022,10,1624693,177.79,19634
경상북도,2022,11,1626096,184.31,21725
경상북도,2022,12,1627174,196.45,23503
경상북도,2023,1,1629034,217.35,29119
경상북도,2023,2,1632220,211.6,29637
경상북도,2023,3,1633193,177.72,23152
경상북도,2023,4,1634549,181.48,24116
경상북도,2023,5,1636372,172.75,22651
경상북도,2023,6,1640918,177.35,24575
경상북도,2023,7,1641116,202.47,27714
경상북도,2023,8,1626567,261.69,37284
경상북도,2023,9,1627679,228.33,32291
경상북도,2023,10,1630208,180.02,24787
경상북도,2023,11,1636793,179.16,24980
경상북도,2023,12,1638667,192.35,27397
경상북도,2024,1,1643919,208.91,30947
경상북도,2024,2,1644894,206.65,30439
경상북도,2024,3,1646977,187.02,26348
경상북도,2024,4,1649597,182.94,25987
경상북도,2024,5,1651758,168.45,23504
경상북도,2024,6,1656261,175.79,25287
경상북도,2024,7,1658161,209.34,29450
광주광역시,2020,1,747606,240.06,25894
광주광역시,2020,2,748222,242.12,26306
광주광역시,2020,3,748985,226.31,23514
광주광역시,2020,4,752517,229.82,24332
광주광역시,2020,5,752566,216.18,21872
광주광역시,2020,6,754051,221.74,22611
광주광역시,2020,7,755194,229.39,21952
광주광역시,2020,8,754959,281.53,28076
광주광역시,2020,9,754799,309.31,36069
광주광역시,2020,10,756417,215.51,21554
광주광역시,2020,11,757159,220.92,22441
광주광역시,2020,12,758879,232.21,24371
광주광역시,2021,1,758548,258.89,28742
광주광역시,2021,2,760593,250.55,27180
광주광역시,2021,3,760166,217.41,21295
광주광역시,2021,4,761634,224.31,22602
광주광역시,2021,5,763368,211.77,20515
광주광역시,2021,6,763947,220.84,21817
광주광역시,2021,7,760941,249.66,25704
광주광역시,2021,8,761518,332.58,38519
광주광역시,2021,9,762210,269.5,28623
광주광역시,2021,10,763402,224.85,23680
광주광역시,2021,11,764926,223.83,23578
광주광역시,2021,12,770519,228.02,24425
광주광역시,2022,1,774491,247.79,28254
광주광역시,2022,2,774582,248.0,28314
광주광역시,2022,3,775540,219.96,23161
광주광역시,2022,4,776955,225.36,23564
광주광역시,2022,5,778855,205.05,20943
광주광역시,2022,6,779208,213.65,22148
광주광역시,2022,7,779834,269.72,29691
광주광역시,2022,8,779873,320.92,35864
광주광역시,2022,9,780579,276.56,30120
광주광역시,2022,10,781375,217.97,23700
광주광역시,2022,11,782606,214.22,24150
광주광역시,2022,12,782439,224.55,25618
광주광역시,2023,1,783091,247.05,31153
광주광역시,2023,2,783318,241.2,32016
광주광역시,2023,3,786074,207.4,25782
광주광역시,2023,4,787353,214.52,27077
광주광역시,2023,5,789482,204.69,25451
광주광역시,2023,6,790308,213.53,28225
광주광역시,2023,7,791540,248.68,33280
광주광역시,2023,8,794785,327.0,46807
광주광역시,2023,9,795186,298.17,43101
광주광역시,2023,10,795538,219.95,29852
광주광역시,2023,11,796687,210.7,28080
광주광역시,2023,12,796826,223.66,30326
광주광역시,2024,1,797850,241.97,34194
광주광역시,2024,2,798544,239.67,33731
광주광역시,2024,3,799295,218.17,29525
광주광역시,2024,4,799445,218.92,29743
광주광역시,2024,5,799973,203.51,26982
광주광역시,2024,6,801321,213.49,29000
광주광역시,2024,7,800985,255.28,34828
대구광역시,2020,1,1205330,241.59,26043
대구광역시,2020,2,1206343,242.79,26319
대구광역시,2020,3,1209408,229.16,23907
대구광역시,2020,4,1210346,231.15,24388
대구광역시,2020,5,1210674,215.54,21627
대구광역시,2020,6,1211536,224.73,23090
대구광역시,2020,7,1213348,230.36,22254
대구광역시,2020,8,1213860,277.18,27646
대구광역시,2020,9,1213655,306.72,35746
대구광역시,2020,10,1213029,212.65,20858
대구광역시,2020,11,1213173,221.71,22419
대구광역시,2020,12,1212734,232.74,24309
대구광역시,2021,1,1213769,259.98,28856
대구광역시,2021,2,1214816,251.63,27285
대구광역시,2021,3,1214843,218.16,21199
대구광역시,2021,4,1216366,224.53,22376
대구광역시,2021,5,1220023,210.84,20100
대구광역시,2021,6,1221778,220.48,21559
대구광역시,2021,7,1223107,244.62,23987
대구광역시,2021,8,1225851,324.78,35970
대구광역시,2021,9,1227672,254.19,25325
대구광역시,2021,10,1229858,218.22,22381
대구광역시,2021,11,1229480,223.43,23298
대구광역시,2021,12,1219772,230.6,24788
대구광역시,2022,1,1220497,251.49,28788
대구광역시,2022,2,1220904,251.98,28904
대구광역시,2022,3,1219746,222.6,23365
대구광역시,2022,4,1221948,227.63,23589
대구광역시,2022,5,1225740,207.97,21053
대구광역시,2022,6,1227517,222.42,23341
대구광역시,2022,7,1229277,289.66,33502
대구광역시,2022,8,1231359,329.94,37654
대구광역시,2022,9,1233449,268.57,28802
대구광역시,2022,10,1237344,213.02,22725
대구광역시,2022,11,1245348,216.17,24282
대구광역시,2022,12,1246549,227.01,26044
대구광역시,2023,1,1249247,249.91,31833
대구광역시,2023,2,1251683,245.1,32833
대구광역시,2023,3,1254773,209.25,25894
대구광역시,2023,4,1257144,215.16,26978
대구광역시,2023,5,1259016,205.07,25308
대구광역시,2023,6,1260614,217.29,28695
대구광역시,2023,7,1264992,252.73,34176
대구광역시,2023,8,1282781,330.11,47872
대구광역시,2023,9,1285395,293.78,42379
대구광역시,2023,10,1289847,217.42,29374
대구광역시,2023,11,1293382,211.24,28149
대구광역시,2023,12,1295295,224.01,30562
대구광역시,2024,1,1298246,243.13,34660
대구광역시,2024,2,1300410,240.62,34104
대구광역시,2024,3,1301220,219.1,29643
대구광역시,2024,4,1306289,218.04,29523
대구광역시,2024,5,1309985,201.36,26483
대구광역시,2024,6,1310739,215.72,29238
대구광역시,2024,7,1312068,264.29,29804
대전광역시,2020,1,779668,224.15,23499
대전광역시,2020,2,779990,225.45,23798
대전광역시,2020,3,781226,210.03,21133
대전광역시,2020,4,780729,215.11,22027
대전광역시,2020,5,782774,199.13,19347
대전광역시,2020,6,782461,205.89,20237
대전광역시,2020,7,782387,215.3,20448
