대상가구수,평균사용량,평균금액,평균기온,평균최저기온,평균최고기온,등록공장수,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수
1249247,249.91,31833,0.9,-4.3,6.7,8334,2362880,1071182,2.21,1162217,1200663
1251683,245.1,32833,4.4,-0.7,10.4,8344,2360662,1072255,2.2,1160942,1199720
1254773,209.25,25894,11.8,5.4,18.8,8365,2358988,1073400,2.2,1159876,1199112
1257144,215.16,26978,14.8,8.8,20.9,8384,2357881,1074370,2.19,1159042,1198839
1259016,205.07,25308,19.3,13.8,25.1,8399,2357032,1075529,2.19,1158397,1198635
1260614,217.29,28695,24.0,19.3,29.6,8622,2356416,1076379,2.19,1157923,1198493
1264992,252.73,34176,26.7,23.1,31.1,8620,2379086,1091073,2.18,1169503,1209583
1298246,243.13,34660,2.3,-2.1,7.6,8607,2373844,1094529,2.17,1166110,1207734
1300410,240.62,34104,5.4,1.5,10.4,8616,2372008,1095812,2.16,1165024,1206984
779668,224.15,23499,2.7,-1.2,7.8,3155,1474152,636203,2.32,736259,737893
779990,225.45,23798,3.6,-1.2,9.3,3172,1473125,637726,2.31,735791,737334
781226,210.03,21133,8.5,2.3,15.0,3146,1471858,638921,2.3,735179,736679
780729,215.11,22027,11.5,5.2,18.7,3101,1471650,640500,2.3,734902,736748
782774,199.13,19347,18.8,13.9,24.4,3116,1471915,643220,2.29,734940,736975
782461,205.89,20237,24.1,20.0,29.0,3117,1471040,644764,2.28,734441,736599
782387,215.3,20448,23.6,20.7,27.2,3151,1470225,646211,2.28,734008,736217
785115,243.91,26435,-1.0,-6.0,4.6,3269,1463291,654078,2.24,730396,732895
785595,239.46,25654,4.0,-1.6,10.0,3289,1462064,655842,2.23,729663,732401
785755,203.39,19313,9.6,4.0,15.9,3292,1458463,655196,2.23,728075,730388
785582,212.09,20810,14.7,8.9,20.9,3312,1457619,656007,2.22,727522,730097
788383,197.17,18417,17.7,12.8,23.1,3338,1457161,657087,2.22,727279,729882
788831,206.66,19732,23.5,19.1,28.5,3358,1456107,657781,2.21,726666,729441
780409,230.3,23196,27.8,24.0,32.3,3364,1455300,658831,2.21,726281,729019
790611,235.0,26326,-0.8,-5.9,5.2,3488,1451272,664804,2.18,724026,727246
790812,236.92,26779,0.1,-5.2,6.1,3503,1450862,666643,2.18,723812,727050
790900,207.82,21521,8.3,2.5,14.5,3509,1450057,667934,2.17,723361,726696
790677,215.63,22071,14.9,8.3,21.9,3529,1449360,668599,2.17,723063,726297
791172,193.76,19317,19.4,12.7,26.3,3540,1448933,669589,2.16,722840,726093
792555,200.47,20223,24.1,19.8,29.4,3552,1448401,670279,2.16,722517,725884
792378,254.18,27762,27.0,23.4,31.5,3569,1448182,671127,2.16,722366,725816
795389,238.31,29910,-0.9,-5.9,5.3,3674,1445806,673759,2.15,721037,724769
